file,size_bytes,sha256,rows,columns,column_names,first_date_like_value,last_date_like_value,read_error
nasdaq31.csv,2738,ca2eac1b20e54dd5045a8a6e51c3d10d66b9d1f1b85ca88267776dc3f87e8be8,31.0,7.0,Date | Open | High | Low | Close | Adj Close | Volume,2023-09-01,2023-10-16,
sp500.csv,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,,,EmptyDataError('No columns to parse from file')
archive\ABBV.csv,110396,55ea32a106bcdb873dfff52942b6e32925b582094cc347aa1c3e646ed7e765ec,2716.0,6.0,ticker | date | open | high | low | close,,,
archive\ABT.csv,409650,8458703431de8f823d7bda2547b3911e5818a7c4db2942f8236f96453b3e4ac5,10989.0,6.0,ticker | date | open | high | low | close,,,
archive\ACN.csv,222522,575c2b3212b63f7f7b3fa170135a89f9659774918890dd04929d823e3392880b,5596.0,6.0,ticker | date | open | high | low | close,,,
archive\AMT.csv,253335,d01bc46490c837a47487ab1cf91a2f5f5bd7dc26352c297f12dfae0e4c97823e,6451.0,6.0,ticker | date | open | high | low | close,,,
archive\AXP.csv,485684,abcfc66e840411d138955ff1637fd69ddf25fb99b8710ca806b7949a54085452,13048.0,6.0,ticker | date | open | high | low | close,,,
archive\BA.csv,569147,1d02fbaddecef606589f741305b434eebf061c1022abe30d86cc3e524652f0ce,15554.0,6.0,ticker | date | open | high | low | close,,,
archive\BABA.csv,95677,73faf02e95eea73a6099606927195e87a271cb321a6add31e5d0fc2849583360,2284.0,6.0,ticker | date | open | high | low | close,,,
archive\BAC.csv,469794,a270bd3726b1ae2367d60fb55df4c66a3b78e5bc293e52645d9884f3cd91e873,12775.0,6.0,ticker | date | open | high | low | close,,,
archive\BDX.csv,478650,5848d14e835fe657934369ae533ee1e28990ed809a504a7175608c6900383c75,12775.0,6.0,ticker | date | open | high | low | close,,,
archive\BHP.csv,404007,90b492ca61da862302a7f06113361ffa5cb707756abb4217d6d97c59860cf110,10989.0,6.0,ticker | date | open | high | low | close,,,
archive\BLK.csv,248863,72d11ac9d8045697d755313412c517f48698c1810f357fa46a8e56f1be0181ba,6049.0,6.0,ticker | date | open | high | low | close,,,
archive\BMY.csv,483615,28b80ed06794ce50f4fbc93372f7316a5384df2d80c297481d23e6ba39df8f11,12955.0,6.0,ticker | date | open | high | low | close,,,
